epoch,train_loss,train_dice,val_dice,val_iou,val_precision,val_recall,val_cl_break,val_delta_beta0,lr,epoch_time
1,0.8402,0.1898,0.2080,0.1164,0.1172,0.9514,76.0,12.6,0.000100,39.74
2,0.8051,0.2311,0.2548,0.1469,0.1487,0.9278,88.8,14.3,0.000099,37.91
3,0.7790,0.2914,0.3286,0.1989,0.2030,0.9103,53.9,18.2,0.000098,29.94
4,0.7609,0.3418,0.3795,0.2378,0.2432,0.9142,51.8,17.3,0.000095,26.56
5,0.7488,0.3774,0.4099,0.2615,0.2672,0.9190,52.0,25.2,0.000091,27.27
6,0.7338,0.4232,0.4585,0.3013,0.3099,0.9080,52.7,26.4,0.000086,24.12
7,0.7232,0.4528,0.4761,0.3160,0.3247,0.9119,57.0,26.6,0.000080,23.08
8,0.7102,0.4871,0.5204,0.3552,0.3681,0.9006,45.6,25.7,0.000073,21.07
9,0.6999,0.5109,0.5291,0.3653,0.3782,0.9070,46.6,23.7,0.000066,20.71
10,0.6890,0.5296,0.5516,0.3851,0.4003,0.9012,40.8,21.9,0.000058,20.45
11,0.6783,0.5476,0.5576,0.3913,0.4067,0.9031,41.4,17.3,0.000051,21.01
12,0.6728,0.5547,0.5795,0.4123,0.4311,0.8949,38.3,17.2,0.000043,20.45
13,0.6603,0.5776,0.5809,0.4135,0.4324,0.8956,37.6,14.2,0.000035,19.96
14,0.6549,0.5821,0.5960,0.4292,0.4514,0.8878,35.0,13.9,0.000028,19.58
15,0.6500,0.5881,0.6018,0.4346,0.4584,0.8843,35.1,13.2,0.000021,19.75
16,0.6443,0.5959,0.5993,0.4329,0.4555,0.8887,36.6,13.3,0.000015,19.48
17,0.6428,0.5977,0.6073,0.4406,0.4648,0.8852,33.5,14.2,0.000010,19.42
18,0.6435,0.5946,0.6012,0.4346,0.4569,0.8903,34.8,13.4,0.000006,19.95
19,0.6388,0.6022,0.6037,0.4371,0.4598,0.8897,34.5,14.1,0.000003,19.78
20,0.6385,0.6028,0.6053,0.4387,0.4619,0.8881,34.2,13.2,0.000002,19.72
