epoch,train_dice_loss,train_dice,val_dice,val_iou,val_precision,val_recall,val_cl_break,val_delta_beta0,lr,epoch_time,roi_mode,roi_mean
1,0.792657,0.2278,0.2634,0.1522,0.1601,0.7542,70.8,22.1,0.000100,32.32,fov,0.6219
2,0.710142,0.3768,0.4020,0.2531,0.2711,0.7860,37.8,19.2,0.000100,23.10,fov,0.6219
3,0.644812,0.4853,0.5270,0.3621,0.3944,0.8065,33.2,35.0,0.000100,20.20,fov,0.6196
4,0.607756,0.5575,0.5860,0.4197,0.4597,0.8181,33.3,20.4,0.000100,18.96,fov,0.6220
5,0.581826,0.5893,0.6300,0.4657,0.5177,0.8138,26.4,18.2,0.000100,18.66,fov,0.6184
6,0.556183,0.6253,0.6287,0.4633,0.5019,0.8488,29.1,12.8,0.000100,19.24,fov,0.6221
7,0.534949,0.6367,0.6694,0.5086,0.5676,0.8236,17.8,15.4,0.000099,17.96,fov,0.6196
8,0.508277,0.6684,0.6782,0.5172,0.5772,0.8264,16.5,13.9,0.000099,18.56,fov,0.6197
9,0.486578,0.6798,0.7053,0.5497,0.6312,0.8057,12.1,15.0,0.000099,16.52,fov,0.6198
10,0.463897,0.6955,0.7130,0.5579,0.6393,0.8099,11.8,14.8,0.000099,16.17,fov,0.6195
11,0.441168,0.7072,0.7088,0.5531,0.6254,0.8222,12.5,15.2,0.000098,16.98,fov,0.6197
12,0.425415,0.7037,0.7363,0.5857,0.7140,0.7625,8.8,19.3,0.000098,15.53,fov,0.6178
13,0.401306,0.7246,0.7330,0.5822,0.6852,0.7926,10.3,16.9,0.000098,16.22,fov,0.6196
14,0.383160,0.7280,0.7388,0.5888,0.6970,0.7893,11.1,17.5,0.000097,16.32,fov,0.6195
15,0.368031,0.7326,0.7394,0.5897,0.6987,0.7882,9.3,14.6,0.000097,16.35,fov,0.6202
16,0.354223,0.7373,0.7437,0.5952,0.7192,0.7748,8.1,15.8,0.000097,17.13,fov,0.6219
17,0.342196,0.7442,0.7533,0.6070,0.7409,0.7691,7.4,16.7,0.000096,15.36,fov,0.6203
18,0.333382,0.7434,0.7534,0.6074,0.7251,0.7867,8.4,14.8,0.000096,15.52,fov,0.6191
19,0.324108,0.7514,0.7541,0.6081,0.7278,0.7855,8.7,15.8,0.000095,16.09,fov,0.6196
20,0.318184,0.7524,0.7520,0.6052,0.7203,0.7908,9.4,14.5,0.000094,15.68,fov,0.6217
21,0.311142,0.7565,0.7585,0.6136,0.7345,0.7864,9.2,15.8,0.000094,15.82,fov,0.6196
22,0.306753,0.7541,0.7592,0.6147,0.7375,0.7860,7.7,15.3,0.000093,15.64,fov,0.6190
23,0.301086,0.7587,0.7613,0.6172,0.7523,0.7738,7.6,15.8,0.000093,15.87,fov,0.6219
24,0.298533,0.7585,0.7649,0.6218,0.7652,0.7668,7.0,15.7,0.000092,15.65,fov,0.6220
25,0.290558,0.7634,0.7658,0.6229,0.7675,0.7671,7.2,14.8,0.000091,15.14,fov,0.6220
26,0.286887,0.7653,0.7661,0.6232,0.7547,0.7807,8.2,15.4,0.000091,14.97,fov,0.6203
27,0.281006,0.7686,0.7674,0.6249,0.7715,0.7655,7.8,15.7,0.000090,16.96,fov,0.6221
28,0.278158,0.7708,0.7694,0.6275,0.7704,0.7709,7.0,16.6,0.000089,15.30,fov,0.6220
29,0.280160,0.7643,0.7653,0.6225,0.7356,0.8003,8.1,14.4,0.000088,15.98,fov,0.6218
30,0.275257,0.7698,0.7696,0.6276,0.7948,0.7484,6.7,15.4,0.000087,15.61,fov,0.6197
