epoch,train_loss,train_dice,train_loss_topo,val_dice,val_iou,val_precision,val_recall,cl_break,delta_beta0,lambda,lr,dice_loss,topo_loss_raw,topo_loss_scaled,ratio,roi_mode,roi_mean,roi_all_ones
1,0.8477,0.1817,1.2095,0.2458,0.1406,0.1516,0.6591,51.1,38.6,0.000,0.000099,0.847655,0.012095,0.000000,0.000000,fov,0.5969,0
2,0.7816,0.3125,0.8618,0.4389,0.2830,0.3485,0.6017,18.1,25.9,0.000,0.000098,0.781553,0.008618,0.000000,0.000000,fov,0.5931,0
3,0.6965,0.4666,2.6202,0.5273,0.3619,0.4095,0.7497,28.9,23.3,0.000,0.000095,0.696473,0.026202,0.000000,0.000000,fov,0.5853,0
4,0.6244,0.5542,7.9466,0.5716,0.4048,0.4516,0.7855,32.6,19.1,0.000,0.000091,0.624364,0.079466,0.000000,0.000000,fov,0.5910,0
5,0.5754,0.5955,10.6353,0.6089,0.4424,0.4982,0.7905,28.2,19.3,0.000,0.000086,0.575385,0.106353,0.000000,0.000000,fov,0.6204,0
6,0.5409,0.6285,12.2675,0.6282,0.4614,0.5192,0.7988,23.8,17.3,0.000,0.000080,0.540938,0.122675,0.000000,0.000000,fov,0.6154,0
7,0.5137,0.6490,14.1564,0.6382,0.4714,0.5320,0.8013,21.9,17.1,0.000,0.000073,0.513743,0.141564,0.000000,0.000000,fov,0.6060,0
8,0.4896,0.6694,14.8241,0.6601,0.4966,0.5601,0.8075,18.8,17.6,0.000,0.000066,0.489607,0.148241,0.000000,0.000000,fov,0.6369,0
9,0.4718,0.6806,15.4066,0.6847,0.5253,0.6098,0.7842,14.3,18.2,0.000,0.000058,0.471844,0.154066,0.000000,0.000000,fov,0.6170,0
10,0.4612,0.6866,16.1486,0.6890,0.5299,0.6095,0.7960,14.4,17.0,0.000,0.000051,0.461241,0.161486,0.000000,0.000000,fov,0.6366,0
11,0.4487,0.6923,16.0843,0.6979,0.5403,0.6311,0.7835,14.0,16.2,0.000,0.000043,0.448741,0.160843,0.000000,0.000000,fov,0.6066,0
12,0.4355,0.7032,16.8261,0.7040,0.5477,0.6435,0.7807,12.0,16.1,0.000,0.000035,0.435455,0.168261,0.000000,0.000000,fov,0.6355,0
13,0.4308,0.7028,17.0372,0.7063,0.5498,0.6439,0.7853,12.8,16.8,0.000,0.000028,0.430810,0.170372,0.000000,0.000000,fov,0.5908,0
14,0.4265,0.7066,17.3107,0.7097,0.5540,0.6511,0.7830,12.2,17.4,0.000,0.000021,0.426539,0.173107,0.000000,0.000000,fov,0.6020,0
15,0.4210,0.7063,16.8353,0.7110,0.5553,0.6539,0.7821,12.1,17.4,0.000,0.000015,0.421032,0.168353,0.000000,0.000000,fov,0.6306,0
16,0.4177,0.7100,17.2898,0.7131,0.5579,0.6559,0.7840,11.9,17.2,0.000,0.000010,0.417726,0.172898,0.000000,0.000000,fov,0.6330,0
17,0.4134,0.7132,17.4040,0.7155,0.5608,0.6644,0.7781,11.7,17.2,0.000,0.000006,0.413408,0.174040,0.000000,0.000000,fov,0.6195,0
18,0.4125,0.7143,17.4250,0.7143,0.5593,0.6586,0.7832,11.3,17.6,0.000,0.000003,0.412506,0.174250,0.000000,0.000000,fov,0.6140,0
19,0.4129,0.7126,17.3260,0.7155,0.5609,0.6614,0.7821,11.1,17.6,0.000,0.000002,0.412942,0.173260,0.000000,0.000000,fov,0.6153,0
20,0.4096,0.7170,17.5862,0.7142,0.5592,0.6569,0.7852,11.7,17.7,0.000,0.000001,0.409599,0.175862,0.000000,0.000000,fov,0.6389,0
